Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity,data_origin,is_real,source_artifact_id,source_row,annotation_origin,verification_status
TW designer to specify when permanent strength of structure is achieved and temporary supports can be removed,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,169,source_published_record,source_published_record_unreviewed
Contractor to identify safety critical elements of temporary works and ensure site operatives understand which elements  cannot be disturbed. ,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,170,source_published_record,source_published_record_unreviewed
Provide a 180 degree hook or impaling cap on the end of all wall reinforcing bars.,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,171,source_published_record,source_published_record_unreviewed
Design roof as one level not two,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,172,source_published_record,source_published_record_unreviewed
Redesign the plant and controls to prevent the need of going to the roof,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,173,source_published_record,source_published_record_unreviewed
Use staircase not CAT ladder,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,174,source_published_record,source_published_record_unreviewed
Provide edge protection,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,175,source_published_record,source_published_record_unreviewed
Provide a restrain system on the roof,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,176,source_published_record,source_published_record_unreviewed
Use shallow foundations to prevent excavation where possible,,Preliminary Design,Eliminate,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,177,source_published_record,source_published_record_unreviewed
Use side strip and piling methods where possible,,Preliminary Design,Eliminate,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,178,source_published_record,source_published_record_unreviewed
Batter sides of excavation,,Preliminary Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,179,source_published_record,source_published_record_unreviewed
Use interlocking sheet piles,,Preliminary Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,180,source_published_record,source_published_record_unreviewed
Use secant piles,,Preliminary Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,181,source_published_record,source_published_record_unreviewed
Use trenchboxes,,Preliminary Design,Control by subsequent design,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,182,source_published_record,source_published_record_unreviewed
Inform design and construction team of ground conditions,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,183,source_published_record,source_published_record_unreviewed
Supply piling technique information to the design and construction team,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,184,source_published_record,source_published_record_unreviewed
Supply information on excavation battering to the design and construction team,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,185,source_published_record,source_published_record_unreviewed
Carry out risk study to ensure extreme weather condition is taken into account,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,186,source_published_record,source_published_record_unreviewed
Plan to place the excavated soil away from the excavation area,,Detail Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,187,source_published_record,source_published_record_unreviewed
Make sure there is enough space to move and store materials around the excavation ,,Detail Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,188,source_published_record,source_published_record_unreviewed
Keep traffic routes at safe margin from excavations,,Detail Design,Control by subsequent design,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,189,source_published_record,source_published_record_unreviewed
Ensure a section in the site traffic management plan to take account of excavations,,Detail Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,190,source_published_record,source_published_record_unreviewed
Ensure proposed working methods (e.g. vibration) do not compromise the excavation's stability,,Pre construction,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,191,source_published_record,source_published_record_unreviewed
Ensure that groundworks contractors are informed of all relevant safety information,,Pre construction,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,192,source_published_record,source_published_record_unreviewed
Earthwork support system to be placed and inspected,,"Site work, Temp Works, Change control",Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,193,source_published_record,source_published_record_unreviewed
Safe placing of spoil during excavation,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,194,source_published_record,source_published_record_unreviewed
Maintain weekly inspection of excavation,,"Site work, Temp Works, Change control",Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,195,source_published_record,source_published_record_unreviewed
Ensure full risk assessment is carried out if the excavations need late change,,"Site work, Temp Works, Change control",Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,196,source_published_record,source_published_record_unreviewed
Consider another solution instead of excavation,,Preliminary Design,Eliminate,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,197,source_published_record,source_published_record_unreviewed
Eliminate the need for props (e.g. reinforced ring beam),,Preliminary Design,Eliminate,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,198,source_published_record,source_published_record_unreviewed
Evaluate alternatives to using large props,,Preliminary Design,Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,199,source_published_record,source_published_record_unreviewed
Designer input into prop proposal,,Preliminary Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,200,source_published_record,source_published_record_unreviewed
"Commision risk study to validate size, fixings and props needed",,Preliminary Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,201,source_published_record,source_published_record_unreviewed
Test integrity of props for supporting load,,Detail Design,Eliminate,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,202,source_published_record,source_published_record_unreviewed
Consider making the props part of the permanent works,,Detail Design,Reduce,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,203,source_published_record,source_published_record_unreviewed
Make sure there are permits to load to install and remove props agreed with temporary works,,Detail Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,204,source_published_record,source_published_record_unreviewed
Create a temporary works design brief covering installation risks,,Detail Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,205,source_published_record,source_published_record_unreviewed
Detail plan to control risks in sequence of installation and removal,,Pre construction,Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,206,source_published_record,source_published_record_unreviewed
Provide risk information to prop installers and removers,,Pre construction,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,207,source_published_record,source_published_record_unreviewed
Make sure there is a lifting plan in place to remove the props safely,,Pre construction,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,208,source_published_record,source_published_record_unreviewed
Monitoring props (e.g. using sensors),,"Site work, Temp Works, Change control",Reduce,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,209,source_published_record,source_published_record_unreviewed
Validating the installation as designed by testing fixings,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,210,source_published_record,source_published_record_unreviewed
Avoid working in the area until the props are removed,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,211,source_published_record,source_published_record_unreviewed
Inspect the state of the props daily,,"Site work, Temp Works, Change control",Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,212,source_published_record,source_published_record_unreviewed
Consider alternative excavation methods that do not require heavy machinery,,Preliminary Design,Eliminate,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,213,source_published_record,source_published_record_unreviewed
Consider ground level design alternatives for basements and shafts,,Preliminary Design,Eliminate,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,214,source_published_record,source_published_record_unreviewed
Work with the topography to reduce the amount of excavation,,Preliminary Design,Reduce,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,215,source_published_record,source_published_record_unreviewed
Plan excavation work to reduce the number of excavators needed on site,,Preliminary Design,Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,216,source_published_record,source_published_record_unreviewed
"Provide information about site survey, buried structures, services, soil contamination, overhead power lines",,Preliminary Design,Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,217,source_published_record,source_published_record_unreviewed
Consider piling methods to reduce excavation,,Detail Design,Control by subsequent design,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,218,source_published_record,source_published_record_unreviewed
Make sure that excavation activites do not overlap with other activities in the same area,,Detail Design,Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,219,source_published_record,source_published_record_unreviewed
Eliminate the need of having people around the excavator,,Pre construction,Eliminate,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,220,source_published_record,source_published_record_unreviewed
Produce site logistics/traffic management plan to make sure pedestrians are segregated,,Pre construction,Control by subsequent design,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,221,source_published_record,source_published_record_unreviewed
Use excavator stop blocks to create safe areas for adjacent workers ,,"Site work, Temp Works, Change control",Reduce,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,222,source_published_record,source_published_record_unreviewed
Ensure suitable barriers are in place around open excavations,,"Site work, Temp Works, Change control",Reduce,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,223,source_published_record,source_published_record_unreviewed
"Ensure equipment is fit for purpose and meets driver visibility standards (e.g. mirrors, etc.)",,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,224,source_published_record,source_published_record_unreviewed
Use wearable sensors for the operators that need to be working near the excavator,,"Site work, Temp Works, Change control",Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,225,source_published_record,source_published_record_unreviewed
Consider alternative method of lifting in order to avoid the need to blind lift,,Preliminary Design,Eliminate,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,226,source_published_record,source_published_record_unreviewed
Review with contractor frequency and weight of lifts to optimise lifting operations,,Preliminary Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,227,source_published_record,source_published_record_unreviewed
Commision of service lift earlier. Replace canti-deck with service lifts,,Preliminary Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,228,source_published_record,source_published_record_unreviewed
Consider using pods manufactured offsite to reduce number of lifts,,Preliminary Design,Control by subsequent design,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,229,source_published_record,source_published_record_unreviewed
Early contractor involvement in planning lifting operations,,Preliminary Design,Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,230,source_published_record,source_published_record_unreviewed
Consider whether the use of a mobile crane would be effective in elimiating blind lifts,,Detail Design,Eliminate,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,231,source_published_record,source_published_record_unreviewed
Consider helicopter lift,,Detail Design,Eliminate,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,232,source_published_record,source_published_record_unreviewed
Assess location of canti-deck as a factor in causing blind lifts,,Detail Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,233,source_published_record,source_published_record_unreviewed
Consider relocating access to the floor for lifted,,Detail Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,234,source_published_record,source_published_record_unreviewed
Replace canti-deck by hoist to load the floors with materials,,Detail Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,235,source_published_record,source_published_record_unreviewed
"Design lifting plan created by permanent work designers in cooperation with PD, temporary works designer, lifting specialist and the PC",,Detail Design,Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,236,source_published_record,source_published_record_unreviewed
Sequence lifting operations to avoid clashes with other trades,,Pre construction,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,237,source_published_record,source_published_record_unreviewed
Coordinate deliveries in order to place pods in sequence on the floors as you go up,,Pre construction,Control by subsequent design,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,238,source_published_record,source_published_record_unreviewed
Introduce a permit to lift for blind and complex lifts,,Pre construction,Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,239,source_published_record,source_published_record_unreviewed
All blind lifts to be supervised by a trained and authorised supervisor,,"Site work, Temp Works, Change control",Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,240,source_published_record,source_published_record_unreviewed
Authorised and trained lifting team communicating with radios,,"Site work, Temp Works, Change control",Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,241,source_published_record,source_published_record_unreviewed
Utilise a hook-camera to allow the operator to see what's underneath,,"Site work, Temp Works, Change control",Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,242,source_published_record,source_published_record_unreviewed
Batter sides of excavation,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,243,source_published_record,source_published_record_unreviewed
Consider using interlocking sheet piles if applicable,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,244,source_published_record,source_published_record_unreviewed
Use trenchboxes,,Preliminary Design,Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,245,source_published_record,source_published_record_unreviewed
Inform design and construction team of ground conditions,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,246,source_published_record,source_published_record_unreviewed
Supply information on excavation battering to the design and construction team,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,247,source_published_record,source_published_record_unreviewed
Carry out risk study to ensure extreme weather condition is taken into account,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,248,source_published_record,source_published_record_unreviewed
Plan to place the excavated soil away from the excavation area,,Detail Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,249,source_published_record,source_published_record_unreviewed
Make sure there is enough space to move and store materials around the excavation ,,Detail Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,250,source_published_record,source_published_record_unreviewed
Keep traffic routes at safe margin from excavations,,Detail Design,Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,251,source_published_record,source_published_record_unreviewed
Ensure a section in the site traffic management plan to take account of excavations,,Detail Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,252,source_published_record,source_published_record_unreviewed
